产品编号,中文名,大类,子类,尺码,颜色,面料,洗护,压缩等级,卖点,首页推荐,热销,排序,图片文件夹
YX-005,无缝塑身吊带背心,Shapewear,Tops,"XS,S,M,L,XL",黑色 #1a1a1a,"80% 尼龙, 20% 氨纶",冷水手洗 平铺晾干,Medium,无缝工艺|轻压缩|细吊带可调|胶合边不显痕,否,否,5,E:\Studio-Assets\YANXINNA\YX-005
YX-006,高腰塑身裤,Shapewear,Bottoms,"S,M,L,XL",黑色 #1a1a1a|肤色 #d9b8a0,"85% 尼龙, 15% 氨纶",,Firm,高腰收腹|无痕裤口|四面弹,是,否,6,E:\Studio-Assets\YANXINNA\YX-006
